Features,importance
D27,0.0320484063975958
D469,0.00965325118781592
D14,0.009339736290678725
D10,0.008616506348794895
D2,0.0071477831386619495
D5,0.006700338599408199
D21,0.0066081235867987325
D7,0.006596960798697664
D106,0.006586713975567071
D20,0.0064881920325182
D107,0.006396105144383661
D88,0.006370553872993763
D66,0.006366737753631576
D87,0.006343156751502531
D6,0.006268050181404963
D18,0.006217753268817162
D78,0.00621120340041972
D9,0.006162762510063002
D95,0.006145951380819936
D16,0.006126446177202761
D104,0.006090146047233691
D84,0.00608029646692108
D15,0.006004845217705853
D19,0.005962986859504219
D103,0.005884957773550925
D89,0.005853000911369158
D17,0.005835512292046936
D91,0.005756820911810171
D105,0.005683900272175669
D86,0.00559444825772885
D26,0.005576164734325349
D177,0.005511352977742509
D8,0.005300591438460433
D64,0.005293975746443992
D187,0.00526668312705764
D32,0.005264300700481344
D74,0.005181777812233151
D30,0.005116108692188213
D747,0.005041437100213292
D200,0.005010427285067898
D217,0.005000648540196147
D146,0.004987167276729637
D46,0.004957033488933236
D102,0.004949632731114124
D47,0.004869107218260023
D25,0.004791632584019777
D182,0.004762468661734066
D951,0.004724350040056763
D99,0.0046962159519181425
D31,0.004608677117891632
D90,0.004517628739987104
D911,0.0044489550731185885
D196,0.004427108141417398
D208,0.00441946176261804
D56,0.004313212533657781
D100,0.004264798372767664
D61,0.00417622146258495
D204,0.004135363769952028
D38,0.0041164313720921195
D158,0.004111346995507617
D181,0.004065722908419113
D659,0.00406490921418653
D45,0.004061850335913957
D218,0.003962394085639477
D175,0.003917383272715935
D660,0.0039055306938226386
D69,0.0039044138909264964
D173,0.003874612285324576
D70,0.003782071187607602
D11,0.0037801527367555825
D201,0.0037565024304298924
D67,0.0037337140272046296
D209,0.0037161900737420874
D75,0.0035519652474065317
D101,0.0035497186884145843
D80,0.003493441656892875
D39,0.0034557955992408212
D76,0.003439360012760039
D202,0.003376706662971453
D48,0.003352909782653527
D71,0.003309453686456326
D739,0.003303029754987602
D131,0.0032878714670712813
D60,0.003282391097959308
D198,0.0032242353536540104
D194,0.003058597554963423
D607,0.0029193117381240597
D152,0.0029160825153467487
D207,0.0028967625102502654
D55,0.002885465632049648
D596,0.0028796989706546643
D49,0.0028711683758898374
D65,0.002865165357533517
D63,0.00286322503426785
D180,0.0028498727395313713
D68,0.0028312295300874685
D199,0.002760490412351924
D83,0.0027507471677535216
D44,0.002723289498675916
D117,0.00269784169951095
D54,0.002661795298649444
D979,0.002598958471779858
D130,0.0025846359174751424
D959,0.0025834694760784164
D145,0.0025783396546611563
D150,0.0025678186875665626
D126,0.0025085871060319506
D62,0.002474321020301049
D33,0.002472423412734647
D1036,0.0024051108523744174
D211,0.002383826627419069
D43,0.002368044200532812
D139,0.0023573496331058034
D85,0.002335969846902792
D58,0.002311559116326531
D947,0.0022860400101683376
D219,0.0021684404605434734
D927,0.0021399801135129235
D740,0.0021160704753753422
D3,0.002102887625605392
D178,0.0020938145033772837
D51,0.002071712341479669
D504,0.0020698791458903065
D53,0.0020613947259872194
D505,0.0020510488942827166
D57,0.002042648054111718
D52,0.0020333084459933353
D595,0.002010866626947593
D172,0.002006432940922762
D142,0.001973676960264542
D35,0.001968761759549124
D81,0.0019563403387452658
D440,0.001946082927148643
D197,0.0019440163002017558
D40,0.0019425609411813638
D205,0.001942287021938546
D96,0.001939473186360417
D143,0.0019381502790355462
D926,0.0019156289476356548
D151,0.0018920881742275663
D741,0.001886444592306428
D802,0.0018601640486290824
D128,0.001823602203517155
D1,0.0017883891215346379
D79,0.0017770304588442098
D1087,0.001736905617177399
D950,0.0017339112876818695
D92,0.0017274162640487937
D480,0.0017104502425609293
D119,0.0017082075286382007
D50,0.0016984700724294078
D479,0.0016960849247167626
D129,0.001642737099089788
D162,0.0016401377426286802
D925,0.0016400791269073798
D1061,0.001629618107047905
D136,0.001621814983084973
D685,0.0016171918062677635
D133,0.0016062260010209495
D844,0.0015866590064750217
D73,0.0015795169866144505
D149,0.001557965429631424
D191,0.0015490199327420008
D34,0.001522895183983264
D36,0.001510819771961096
D214,0.0014666347081568607
D512,0.0014646609796343027
D622,0.001457879466474936
D334,0.0014516333590898394
D426,0.0014369650312985019
D155,0.001434997800668
D223,0.0014179904620551943
D137,0.00135672183650247
D807,0.0013557506643691183
D806,0.0013528778924320353
D22,0.001343058943728287
D185,0.001325199550285884
D762,0.001303160810392934
D237,0.0012647798674710155
D93,0.0012614527856621182
D700,0.0012610538535784304
D212,0.0012536121214109244
D135,0.001251682748718446
D12,0.0012419676995315098
D97,0.001236007999219334
D195,0.0012200294937342615
D161,0.001212042875714266
D949,0.0012035540056464882
D159,0.0011955790529852447
D513,0.00118886037090857
D808,0.0011866256887665756
D473,0.0011557274088584992
D215,0.0011416947852155993
D961,0.001137590333020333
D999,0.0011363302589118428
D661,0.0011295408752980043
D183,0.0011212862060670206
D210,0.0011200199191547901
D889,0.0011120474290447614
D441,0.0011060423260288287
D203,0.0010871098498646393
D127,0.0010807448142173218
D216,0.0010770757867106147
D514,0.0010629135980088978
D160,0.0010555518825867722
D41,0.0010520104335794323
D164,0.0010437946438716838
D443,0.00104259638751747
D842,0.0010355837942605131
D168,0.001017439405659923
D843,0.0010114466052717748
D449,0.0010071786682685298
D42,0.000993544502399409
D458,0.0009840213921567284
D995,0.0009760628791939537
D933,0.0009728576848530693
D157,0.0009686071572624752
D649,0.0009649644017093425
D457,0.0009546862398055807
D597,0.000944525950131037
D900,0.0009424580671310497
D59,0.000939966539471094
D663,0.0009390791528421848
D1002,0.0009364243588671362
D662,0.0009306707491364319
D416,0.0009201789846315615
D583,0.0009131890804951109
D748,0.0009128747748133687
D672,0.0009072143568373238
D108,0.0009060665840477782
D459,0.0008994872946580572
D809,0.0008942359785949298
D764,0.0008874331551501775
D442,0.000887139482911729
D890,0.0008796021865865116
D472,0.0008703268897986983
D621,0.0008664629784628857
D1169,0.0008662821597317109
D309,0.0008634778724727354
D697,0.0008619931782698022
D982,0.0008513835008672442
D1004,0.0008494724131741821
D1071,0.0008466146406287491
D415,0.0008452953760328084
D515,0.0008412984180340637
D13,0.0008364758598509766
D1281,0.0008262597951782362
D623,0.0008249213525800886
